luukki;kallio;mannerheimintie;makelankatu;leppavaara;lohja;tikkurila;vartiokyla;Datetime
5,5;38,7;56,8;;34,6;4,8;13,3;41,5;2015-01-01 00:00:00
9,8;13,2;25,8;;16,1;3,8;6,6;26,8;2015-01-01 01:00:00
9,1;10,2;18,9;;13,8;3,7;6,6;22,4;2015-01-01 02:00:00
9,7;7,4;13,9;;9,7;3,6;7,4;18,5;2015-01-01 03:00:00
3,8;6,6;13;;7,6;3,4;6,9;15,8;2015-01-01 04:00:00
1,7;6,3;5,1;;5,9;2,4;6,2;13,7;2015-01-01 05:00:00
5,7;5,4;6,9;;4,3;2,2;4,6;12,6;2015-01-01 06:00:00
4,4;5,8;7,5;;4,9;2,4;4,5;11,4;2015-01-01 07:00:00
9,1;5,1;0,6;;4,8;2,8;5,3;11;2015-01-01 08:00:00
6,3;5,9;2,1;;3,2;4,8;4,5;11,5;2015-01-01 09:00:00
1,2;2,6;4,7;;4,7;3,6;5,1;10,9;2015-01-01 10:00:00
1,5;1,9;2,7;;3,5;2,4;5,4;9,2;2015-01-01 11:00:00
4,1;0,2;2,1;;4,1;4,1;2;7,7;2015-01-01 12:00:00
-0,2;1,5;2,9;;2,4;4,6;2,1;8,5;2015-01-01 13:00:00
0,8;4;3,1;;2,2;5,7;4;7,6;2015-01-01 14:00:00
7,4;5,9;5,9;;4,1;5,2;8;8,8;2015-01-01 15:00:00
3,7;5,1;7,2;;5,8;4,4;7,2;8,9;2015-01-01 16:00:00
5,5;6,7;8;;4,4;4;7;9,6;2015-01-01 17:00:00
3,7;6,9;5,9;;2,1;3,4;6,2;8,1;2015-01-01 18:00:00
3,6;5,9;8,5;;2,9;2,9;5,1;7,3;2015-01-01 19:00:00
7,5;4,7;4,9;;3,6;2,3;4,5;6,7;2015-01-01 20:00:00
1,8;3,7;0,7;;2,9;2;3,6;6,9;2015-01-01 21:00:00
-0,2;3,5;0,6;;1,8;1,8;3,2;6,2;2015-01-01 22:00:00
-0,9;2,8;3,2;;0,9;1,8;2,8;6,2;2015-01-01 23:00:00
3,1;3,4;1,8;;-1,7;2,2;2,6;7,2;2015-01-02 00:00:00
2,8;2,9;1,2;;1,5;2,4;3,1;6,9;2015-01-02 01:00:00
5,1;3;4,9;;3,5;2,9;3,6;6,8;2015-01-02 02:00:00
4,3;1,7;5,2;;3,7;4;4,2;6,7;2015-01-02 03:00:00
1,4;5,4;3,4;;4,6;5,5;5,1;7,2;2015-01-02 04:00:00
4,5;2,7;6,7;;4,2;3;7,1;7,2;2015-01-02 05:00:00
4,5;-0,3;5,4;;2,1;0,8;4,7;6,1;2015-01-02 06:00:00
-0,2;-0,9;1,6;;2,3;0,4;2,3;4,9;2015-01-02 07:00:00
1,7;-2,2;4;;3,5;0,3;1,5;4,2;2015-01-02 08:00:00
